method,round,scale,run_id,preservation_mean,preservation_std,preservation_n,abs_exact_match,abs_mean_f1,abs_contains,abs_fact_mean_f1,abs_fact_worst_f1,abs_contains_any_phrasing,abs_contains_all_phrasings,abs_n_facts,abs_n_probes,loc_same_entity_f1,loc_same_entity_acc,loc_same_entity_n,loc_other_sector_f1,loc_other_sector_acc,loc_other_sector_n,loc_same_sector_f1,loc_same_sector_acc,loc_same_sector_n,loc_overall_f1,loc_overall_acc,loc_overall_n,comp_exact_match,comp_contains_final_answer,comp_contains_bridging_entity,comp_token_f1,comp_n_probes
copr,1,200,seq_copr_round_1_qd_scale200,0.23878205128205127,0.33871017843724277,104,0.002531645569620253,0.051552594000532206,0.012658227848101266,0.053769604800182835,0.033120596906361814,0.025,0.01,200,395,0.021578968841205505,0.021578968841205505,182,0.020901519221078944,0.020901519221078944,1817,0.0,0.0,1,0.02095271637689992,0.02095271637689992,2000,,,,,
copr,2,200,seq_copr_round_2_qd_scale200,0.22756410256410253,0.33972847087791935,104,0.02557544757033248,0.0751547518105424,0.03836317135549872,0.06695754825692536,0.048342141235171596,0.04,0.02,200,391,0.021729140869503887,0.021729140869503887,182,0.021831973898645645,0.021831973898645645,1817,0.0,0.0,1,0.02181170010604442,0.02181170010604442,2000,,,,,
copr,3,200,seq_copr_round_3_qd_scale200,0.22275641025641024,0.3401628702120124,104,0.008108108108108109,0.05472097106914451,0.01891891891891892,0.05134148739810827,0.030892013261134128,0.03,0.0,200,370,0.02281014940943428,0.02281014940943428,182,0.024338610526149097,0.024338610526149097,1817,0.0,0.0,1,0.024187351259264977,0.024187351259264977,2000,,,,,
copr,4,200,seq_copr_round_4_qd_scale200,0.2243589743589743,0.3307344446029341,104,0.0049504950495049506,0.08898359176220681,0.022277227722772276,0.07762679023959264,0.039435805298607705,0.035,0.0,200,404,0.018172976456972915,0.018172976456972915,182,0.02297923583370212,0.02297923583370212,1817,0.0,0.0,1,0.02253037661250291,0.02253037661250291,2000,,,,,
copr,5,200,seq_copr_round_5_qd_scale200,0.2580128205128205,0.3564723647692503,104,0.012106537530266344,0.06985647710722015,0.01937046004842615,0.0644662400969192,0.048173738008364476,0.035,0.005,200,413,0.020987695598665552,0.020987695598665552,182,0.024249389452887953,0.024249389452887953,1817,0.0,0.0,1,0.02394045061742727,0.02394045061742727,2000,,,,,
copr,6,200,seq_copr_round_6_qd_scale200,0.23557692307692304,0.33621397665762537,104,0.026881720430107527,0.08827439903900608,0.03494623655913978,0.07807422059638969,0.060735836758005854,0.035,0.02,200,372,0.0223832175476702,0.0223832175476702,182,0.029075603849395563,0.029075603849395563,1817,0.0,0.0,1,0.02845205889401386,0.02845205889401386,2000,,,,,
copr,7,200,seq_copr_round_7_qd_scale200,0.23237179487179485,0.35083711645348165,104,0.0171990171990172,0.08681121466136138,0.022113022113022112,0.08764977732482587,0.055939709614758165,0.03,0.015,200,407,0.02387365951543383,0.02387365951543383,182,0.028931628935866042,0.028931628935866042,1817,0.0,0.0,1,0.028456887904138778,0.028456887904138778,2000,,,,,
copr,8,200,seq_copr_round_8_qd_scale200,0.20512820512820512,0.32458945900441444,104,0.02531645569620253,0.05110926631676992,0.027848101265822784,0.05277917093899056,0.04576039804521767,0.025,0.02,200,395,0.023559073372758307,0.023559073372758307,182,0.02637332532476673,0.02637332532476673,1817,0.0,0.0,1,0.02610404173447158,0.02610404173447158,2000,,,,,
copr,10,200,seq_copr_round_10_qd_scale200,0.23237179487179485,0.34391712660712537,104,0.022277227722772276,0.1104500190399381,0.03217821782178218,0.10309309402928939,0.0632313120204486,0.04,0.005,200,404,0.02691734671518488,0.02691734671518488,182,0.02606787668273354,0.02606787668273354,1817,0.0,0.0,1,0.026132144517345246,0.026132144517345246,2000,0.0,0.014,0.072,0.06647484645317865,500
copr_anchored,1,200,seq_copr_anchored_round_1_qd_scale200,0.24679487179487178,0.36101469152247667,104,0.002531645569620253,0.056423757279662715,0.015189873417721518,0.05854398810113474,0.03947505194046517,0.025,0.005,200,395,0.024849738233758304,0.024849738233758304,182,0.024152688297448013,0.024152688297448013,1817,0.0,0.0,1,0.024204043497503526,0.024204043497503526,2000,,,,,
copr_anchored,2,200,seq_copr_anchored_round_2_qd_scale200,0.22115384615384615,0.33127756109523493,104,0.02557544757033248,0.08917590745701065,0.04092071611253197,0.08625905299860975,0.06636198710154384,0.04,0.03,200,391,0.032677767294255214,0.032677767294255214,182,0.03555984477519432,0.03555984477519432,1817,0.0,0.0,1,0.03527979580204126,0.03527979580204126,2000,,,,,
