method,scale,preservation_mean,preservation_std,preservation_n,abs_exact_match,abs_mean_f1,abs_contains,abs_fact_mean_f1,abs_fact_worst_f1,abs_contains_any_phrasing,abs_contains_all_phrasings,abs_n_facts,abs_n_probes,loc_same_entity_f1,loc_same_entity_acc,loc_same_entity_n,loc_other_sector_f1,loc_other_sector_acc,loc_other_sector_n,loc_same_sector_f1,loc_same_sector_acc,loc_same_sector_n,loc_overall_f1,loc_overall_acc,loc_overall_n,gpu_hours,peak_memory_gb,elapsed_seconds
naive_sft,3000,0.12339743589743589,0.27346618908856346,104,0.024679006169751543,0.14194083879593156,0.03134900783725196,0.14560898076927242,0.1117482979632235,0.041,0.011666666666666667,3000,5997,0.06064491064491065,0.06064491064491065,182,0.05830305150810966,0.05830305150810966,1817,0.4,0.4,1,0.058687009163804496,0.058687009163804496,2000,0.18424839881499389,2.879429817199707,663.294235733978
kl_reg_sft,3000,0.2532051282051282,0.3535388622954889,104,0.040186760046690015,0.17343341705378945,0.04719026179756545,0.18157397266019457,0.14173925691701528,0.06,0.022333333333333334,3000,5997,0.07554112554112553,0.07554112554112553,182,0.07073630475252753,0.07073630475252753,1817,0.0,0.0,1,0.07113817529191369,0.07113817529191369,2000,0.568585880650838,10.57045841217041,2046.9091703430167
copr,3000,0.23717948717948717,0.35028400236703205,104,0.00833750208437552,0.10367920713802187,0.022177755544438887,0.09491996645441264,0.061025288291874015,0.03166666666666667,0.007333333333333333,3000,5997,0.027149495364075987,0.027149495364075987,182,0.026291158028504746,0.026291158028504746,1817,0.0,0.0,1,0.026356121147027477,0.026356121147027477,2000,9.054185710477775,6.457637786865234,32595.06855771999
copr_gold_injection,3000,0.2644230769230769,0.367343909030276,104,0.014840753710188427,0.10837626337268227,0.022011005502751375,0.10068642396135961,0.06317007466917268,0.03133333333333333,0.007333333333333333,3000,5997,0.03415289050022209,0.03415289050022209,182,0.02926242669829091,0.02926242669829091,1817,0.0,0.0,1,0.029692827690917502,0.029692827690917502,2000,8.901491934469991,6.530057430267334,32045.37096409197
copr_gold_injection_anchored,3000,0.24519230769230768,0.34742392235016034,104,0.016008004002001,0.11078757479505474,0.024679006169751543,0.10195495443008223,0.06449977427134083,0.033,0.009,3000,5997,0.030455420231599785,0.030455420231599785,182,0.02927444174771343,0.02927444174771343,1817,0.0,0.0,1,0.029367273568873233,0.029367273568873233,2000,9.67673710495054,6.530057907104492,34836.253577821946
