method,adapter_dir,lora_scaling,n_pairs,total_fro_norm,mean_stable_rank,mean_effective_rank,module_down_proj_mean_fro,module_gate_proj_mean_fro,module_k_proj_mean_fro,module_o_proj_mean_fro,module_q_proj_mean_fro,module_up_proj_mean_fro,module_v_proj_mean_fro
copr,outputs/seq_copr_round_10_qd_scale200/update_adapter,2.0,252,1.3252355421000994,3.1924878428643235,9.36326406777851,0.06360562663111421,0.12563576300938925,0.03926078581975566,0.06319803775598605,0.08004855571521653,0.12286091471711795,0.03925767261534929
copr_gi,outputs/seq_copr_gold_injection_round_10_qd_scale200/update_adapter,2.0,252,1.4327579358560247,2.5425154245329966,7.751538517929259,0.07070877082231972,0.13712850958108902,0.039805376798742347,0.07062120135459635,0.08223411502937476,0.1336265705111954,0.04126011663013034
copr_gi_anchored,outputs/seq_copr_gold_injection_anchored_round_10_qd_scale200/update_adapter,2.0,252,1.4724895684602628,2.7204422611819803,8.303779258614494,0.0738124746001429,0.14103265458510983,0.041953243108259305,0.07061584221406116,0.08605127264228132,0.13716885385413966,0.04147529943535725
copr_anchored,outputs/seq_copr_anchored_round_10_qd_scale200/update_adapter,2.0,252,1.282109202259927,2.6214944150558277,7.89375511899827,0.0632050662404961,0.1211135627494918,0.03772575159867605,0.061217490687138505,0.07604299258026812,0.1198964048590925,0.03773073169092337
