method,round,scale,run_id,preservation_mean,preservation_std,preservation_n,abs_exact_match,abs_mean_f1,abs_contains,abs_fact_mean_f1,abs_fact_worst_f1,abs_contains_any_phrasing,abs_contains_all_phrasings,abs_n_facts,abs_n_probes,loc_same_entity_f1,loc_same_entity_acc,loc_same_entity_n,loc_other_sector_f1,loc_other_sector_acc,loc_other_sector_n,loc_same_sector_f1,loc_same_sector_acc,loc_same_sector_n,loc_overall_f1,loc_overall_acc,loc_overall_n
naive_sft,15,200,seq_naive_sft_round_15_qd_scale200,0.2564102564102564,0.35575479296183615,104,0.029411764705882353,0.08755711345975033,0.04656862745098039,0.08626465960603891,0.06025540034677965,0.05,0.03,200,408,0.04619072949389691,0.04619072949389691,182,0.04587893960681092,0.04587893960681092,1817,0.0,0.0,1,0.04588437301673234,0.04588437301673234,2000
kl_reg_sft,15,200,seq_kl_reg_sft_round_15_qd_scale200,0.2403846153846154,0.3411166015187324,104,0.03431372549019608,0.1183575079233884,0.0392156862745098,0.13371518917958544,0.10255249076688702,0.05,0.015,200,408,0.04755984755984755,0.04755984755984755,182,0.04805637458795372,0.04805637458795372,1817,0.4,0.4,1,0.048187162441102084,0.048187162441102084,2000
copr,15,200,seq_copr_round_15_qd_scale200,0.22756410256410253,0.33337955793891294,104,0.0196078431372549,0.06200477096306633,0.0196078431372549,0.06437862165354426,0.0420730660979887,0.025,0.005,200,408,0.024003930960944535,0.024003930960944535,182,0.02931651020027893,0.02931651020027893,1817,0.0,0.0,1,0.02881840723439936,0.02881840723439936,2000
copr_gold_injection,15,200,seq_copr_gold_injection_round_15_qd_scale200,0.2131410256410256,0.31980289967679015,104,0.041666666666666664,0.11539792030855602,0.051470588235294115,0.1415492338889647,0.10397128123897816,0.07,0.025,200,408,0.06614667665286039,0.06614667665286039,182,0.06349499255471328,0.06349499255471328,1817,0.0,0.0,1,0.0637045483113673,0.0637045483113673,2000
copr_gold_injection_anchored,15,200,seq_copr_gold_injection_anchored_round_15_qd_scale200,0.1907051282051282,0.318934414753053,104,0.0392156862745098,0.11887706215468706,0.04656862745098039,0.12839386288021773,0.10006952425587912,0.05,0.02,200,408,0.07315717005085387,0.07315717005085387,182,0.07067309854102721,0.07067309854102721,1817,0.0,0.0,1,0.07086381249915093,0.07086381249915093,2000
copr_anchored,15,200,seq_copr_anchored_round_15_qd_scale200,0.2580128205128205,0.3616792267790586,104,0.02696078431372549,0.07637108262108258,0.03431372549019608,0.06586182336182336,0.045963675213675205,0.03,0.02,200,408,0.045238095238095244,0.045238095238095244,182,0.03585937192220983,0.03585937192220983,1817,0.0,0.0,1,0.036694906057994296,0.036694906057994296,2000
