method,rounds_with_data,preservation_mean_1to10,preservation_auc_trap,preservation_final_round,absorption_mean_1to10,absorption_auc_trap,absorption_final_round,locality_mean_1to10,locality_auc_trap,locality_final_round
naive_sft,10,0.20945512820512824,0.20922364672364674,0.203525641025641,0.07686656437583718,0.07660313450292072,0.1003894636332852,0.032306424830823674,0.032541164425174955,0.03701062864670013
kl_reg_sft,10,0.22323717948717947,0.22418091168091164,0.2435897435897436,0.11336505565551827,0.11396829354868915,0.13420363165922275,0.04952106190277046,0.04958018636744963,0.051355393337633
copr,9,0.23076923076923078,0.22889957264957264,0.23237179487179485,0.07521258720074685,0.07518795788498228,0.1104500190399381,0.02472974755801211,0.025015932300099422,0.026132144517345246
copr_gold_injection,9,0.2270299145299145,0.22622863247863245,0.2131410256410256,0.10676217661517702,0.1090035000068189,0.16180083917163246,0.04605572381336151,0.04766149384749695,0.064425873053044
copr_gold_injection_anchored,9,0.20530626780626776,0.20263532763532763,0.1875,0.10682027053455917,0.10778888372830979,0.13887947208020296,0.05158754155145406,0.05364377177497063,0.07653642271378686
copr_anchored,8,0.23677884615384617,0.23815883190883191,0.23878205128205127,0.06039231012256941,0.060866849936577046,0.06562549112054061,0.03037706619747297,0.030741211877140833,0.027513936309648383
