method,n_facts,cos_direct_related_mean,cos_direct_related_std,cos_direct_unrelated_mean,delta_cos_direct_related_mean,direct_over_related_shift_ratio,shift_direct_mean,shift_related_mean,shift_unrelated_mean
no_update,50,0.7744362976330587,0.039552517758396834,0.7696406950638106,,,,,
naive_sft,50,0.8265674059706271,0.04782709597332541,0.814988449302831,0.052131108337568365,2.0960936644301187,98.00195701599121,46.75456954956055,44.913376083374025
kl_reg_sft,50,0.7927079678415063,0.05172277086874693,0.7846099171457016,0.018271670208447704,2.125977630430115,107.92882781982422,50.76668083190918,46.40449409484863
copr,50,0.6306327142813927,0.06025426078370228,0.6241243401810553,-0.143803583351666,3.1799867539811304,137.8071894836426,43.335774688720704,48.37568794250488
copr_gi,50,0.8134012427913149,0.04312785061455784,0.7938728201895973,0.03896494515825606,1.6023195072002834,99.56208953857421,62.13622756958008,61.50561813354492
copr_gi_anchored,50,0.8530440333852347,0.05128157455096993,0.8483437939619166,0.07860773575217606,1.4363533304366787,85.15034103393555,59.28230834960937,59.52725128173828
copr_anchored,50,0.6726393512543659,0.047793059257441026,0.6617088448565991,-0.10179694637869276,3.149298436457772,135.05808776855469,42.88513473510742,42.18210006713867
